index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-09/01/staatsagentur-rund-250-tote-bei-erdbeben-in-afghanistan,https://www.zeit.de/news/2025-09/01/staatsagentur-rund-250-tote-bei-erdbeben-in-afghanistan,0,www.zeit.de,Naturkatastrophe: Staatsagentur: Rund 250 Tote bei Erdbeben in Afghanistan,Hier finden Sie Informationen zu dem Thema „Naturkatastrophe“. Lesen Sie jetzt „Staatsagentur: Rund 250 Tote bei Erdbeben in Afghanistan“.,https://img.zeit.de/news/2025-09/01/staatsagentur-rund-250-tote-bei-erdbeben-in-afghanistan-image-group/wide__1300x731,2025-09-01T03:50:46Z,https://web.archive.org/web/20250901040724/https://www.zeit.de/news/2025-09/01/staatsagentur-rund-250-tote-bei-erdbeben-in-afghanistan,Bei einem Erdbeben im Osten Afghanistans sind nach ersten Angaben der staatlichen Nachrichtenagentur Bachtar mindestens 250 Menschen ums Leben gekommen. Außerdem berichtete die von den regierenden Ta… [+862 chars],,de,'Erdbeben Tote'
https://orf.at/stories/3404115/,https://orf.at/stories/3404115/,0,orf.at,Erdbeben in Afghanistan: Offenbar hunderte Tote,,https://orf.at/mojo/1_4_1/storyserver//news/common/images/og-fallback-news.png,2025-09-01T04:06:11Z,https://web.archive.org/web/20250901075239/https://orf.at/stories/3404115/,Nach einem schweren Erdbeben in Afghanistan werden zahlreiche Todesopfer befürchtet. Nach ersten Angaben der staatlichen Nachrichtenagentur Bachtar kamen mindestens 250 Menschen ums Leben. Außerdem b… [+698 chars],,de,'Erdbeben'
https://www.sueddeutsche.de/panorama/erdbeben-afghanistan-hunderte-tote-verletzte-li.3305954,https://www.sueddeutsche.de/panorama/erdbeben-afghanistan-hunderte-tote-verletzte-li.3305954,0,www.sueddeutsche.de,Bericht der Staatsagentur: Hunderte Tote bei Erdbeben in Afghanistan,"Bei einem schweren Erdbeben der Stärke 6,0 in Afghanistan sind nach Angaben der staatlichen Nachrichtenagentur Bachtar mindestens 250 Menschen ums Leben gekommen.",https://www.sueddeutsche.de/2025/09/01/ebef5648-9d63-4893-9986-2fe3fb891ca2.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,2025-09-01T04:14:01Z,https://web.archive.org/web/20250901053726/https://www.sueddeutsche.de/panorama/erdbeben-afghanistan-hunderte-tote-verletzte-li.3305954,"Wie die BBC berichtet, ereignete sich das Beben der Stärke 6,0 am Sonntag um 23.47 Uhr Ortszeit. Das Epizentrum des Bebens lag 27 Kilometer von Dschalalabad entfernt, der fünftgrößten Stadt des Lande… [+843 chars]",,de,'Erdbeben Tote'
https://www.nzz.ch/panorama/mindestens-250-tote-nach-einem-erdbeben-in-afghanistan-ld.1900322,https://www.nzz.ch/panorama/mindestens-250-tote-nach-einem-erdbeben-in-afghanistan-ld.1900322,0,www.nzz.ch,Mindestens 250 Tote nach einem Erdbeben in Afghanistan,"Das Beben hatte eine Stärke von 6 auf der Richterskala, das Epizentrum war im Osten des Landes.","https://img.nzz.ch/2025/09/01/c2988d0d-8d6e-4d3f-ae7e-ae4e447d82e3.jpg?width=1200&height=675&fit=bounds&quality=75&auto=webp&crop=6000,3375,x0,y313&wmark=nzz",2025-09-01T04:15:04Z,,cov. /(dpa) Bei einem Erdbeben in Afghanistan sind am späten Sonntagabend laut ersten Angaben der staatlichen Nachrichtenagentur Bachtar mindestens 250 Personen ums Leben gekommen. Ausserdem berichte… [+789 chars],,de,'Erdbeben'
https://www.faz.net/aktuell/gesellschaft/ungluecke/hunderte-tote-viele-verletzte-schweres-erdbeben-im-nordosten-afghanistans-accg-110664303.html,https://www.faz.net/aktuell/gesellschaft/ungluecke/hunderte-tote-viele-verletzte-schweres-erdbeben-im-nordosten-afghanistans-accg-110664303.html,0,www.faz.net,Suche nach Überlebenden: Hunderte Tote bei Erdbeben in Afghanistan,Ein Beben der Stärke 6.0 erschüttert den Nordosten Afghanistans. In einem schwer zugänglichen Gebiet nahe der pakistanischen Grenze kommen hunderte Menschen ums Leben. Es gibt viele Verletzte.,https://media1.faz.net/ppmedia/w1200/aktuell/gesellschaft/3041607103/1.10664305/facebook_teaser/archivbild-im-oktober-2023.jpg.webp,2025-09-01T04:20:19Z,https://web.archive.org/web/20250901070526/https://www.faz.net/aktuell/gesellschaft/ungluecke/hunderte-tote-viele-verletzte-schweres-erdbeben-im-nordosten-afghanistans-accg-110664303.html,"Bei einem schweren Erdbeben im Osten Afghanistans sind dem staatlichen Rundfunksender RTA zufolge etwa 500 Menschen ums Leben gekommen. Rund 1000 Menschen seien verletzt worden, berichtete der Sender… [+1491 chars]",,de,'Erdbeben Überlebende'
https://www.diepresse.com/20049500/250-tote-nach-schwerem-erdbeben-in-afghanistan,https://www.diepresse.com/20049500/250-tote-nach-schwerem-erdbeben-in-afghanistan,0,www.diepresse.com,250 Tote nach schwerem Erdbeben in Afghanistan,"Noch ist unklar, wieviele Menschen bei dem Erdbeben in der Provinz Kunar ums Leben gekommen sind. Zahlreiche Lehm- und Steinhäuser wurden zerstört. Rettungskräfte suchen unter den Trümmern nach Überlebenden.",https://www.diepresse.com/assets_v2/images/diepresse_nachrichten.png,2025-09-01T04:37:56Z,,"Noch ist unklar, wieviele Menschen bei dem Erdbeben in der Provinz Kunar ums Leben gekommen sind. Zahlreiche Lehm- und Steinhäuser wurden zerstört. Rettungskräfte suchen unter den Trümmern nach Überl… [+1768 chars]",,de,'Erdbeben Trümmer'
https://www.n-tv.de/panorama/Schweres-Erdbeben-erschuettert-Afghanistan-article26000732.html,https://www.n-tv.de/panorama/Schweres-Erdbeben-erschuettert-Afghanistan-article26000732.html,0,www.n-tv.de,Hohe Opferzahlen befürchtet: Schweres Erbeben erschüttert Afghanistan,Afghanistan wird immer wieder von schweren Erdbeben heimgesucht. Bei einem starken Beben kommen hunderte Menschen in den östlichen Provinzen ums Leben. Die schlecht erschlossenen Gebiete erschweren Berichte über die genauen Zahlen.,https://www.n-tv.de/img/incoming/crop26000743/9371321458-cImg_16_9-w1200/544162448.jpg,2025-09-01T04:41:49Z,https://web.archive.org/web/20250901085420/https://www.n-tv.de/panorama/Schweres-Erdbeben-erschuettert-Afghanistan-article26000732.html,Afghanistan wird immer wieder von schweren Erdbeben heimgesucht. Bei einem starken Beben kommen hunderte Menschen in den östlichen Provinzen ums Leben. Die schlecht erschlossenen Gebiete erschweren B… [+2225 chars],,de,'Erdbeben'
https://orf.at/stories/3404121/,https://orf.at/stories/3404121/,0,orf.at,Hunderte Tote nach Erdbeben befürchtet,"Bei einem Erdbeben in Afghanistan sind nach ersten Angaben mindestens 250 Menschen ums Leben gekommen. Wie die Behörden mitteilten, erschütterte ein Beben der Stärke 6.0 nach Richter die gebirgige Provinz Kunar. Das Gebiet ist schwer zugänglich, das tatsächli…",https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2025%2F36%2F90%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2750932_master_1059890_afghanistan_erdbeben_r.jpg%3Fs%3D5d639e1e1077c5eed4925c96905f680e90d6c1e2,2025-09-01T05:06:34Z,https://web.archive.org/web/20250901063541/https://orf.at/stories/3404121/,"Nach ersten Angaben der staatlichen Nachrichtenagentur Bachtar, die von den regierenden Taliban kontrolliert wird, wurden bei dem Beben auch etwa 500 Menschen verletzt. Genaue Opferzahlen lagen noch … [+1345 chars]",,de,'Erdbeben'
https://www.tagesschau.de/ausland/asien/afghanistan-erdbeben-140.html,https://www.tagesschau.de/ausland/asien/afghanistan-erdbeben-140.html,0,www.tagesschau.de,Hunderte Tote nach Erdbeben in Afghanistan befürchtet,"Im Osten Afghanistans sind bei einem Erdbeben nach ersten Angaben mindestens 250 Menschen getötet worden. Das Beben der Stärke 6,0 erschütterten eine schwer zugängliche Grenzregion zu Pakistan.",https://images.tagesschau.de/image/85c16aae-6aa0-4418-abbb-8f986b642f3c/AAABmQOxeNw/AAABmKJZ-0g/16x9-big/afghanistan-beben-opfer-100.jpg?width=1280,2025-09-01T05:13:06Z,https://web.archive.org/web/20250901053856/https://www.tagesschau.de/ausland/asien/afghanistan-erdbeben-140.html,"Stand: 01.09.2025 07:13 Uhr
Im Osten Afghanistans sind bei einem Erdbeben nach ersten Angaben mindestens 250 Menschen getötet worden. Das Beben der Stärke 6,0 erschütterten eine schwer zugängliche G… [+1599 chars]",,de,'Erdbeben'
https://www.welt.de/vermischtes/video68b51d0b8c33b226bcaee86d/staerke-von-6-0-mindestens-250-tote-bei-schwerem-erdbeben-im-osten-afghanistans.html,https://www.welt.de/vermischtes/video68b51d0b8c33b226bcaee86d/staerke-von-6-0-mindestens-250-tote-bei-schwerem-erdbeben-im-osten-afghanistans.html,0,www.welt.de,Mindestens 250 Tote bei schwerem Erdbeben im Osten Afghanistans,"Bei einem schweren Erdbeben in Afghanistans sind mindestens 250 Menschen ums Leben gekommen. Das Epizentrum lag im Osten Afghanistans nahe der Grenze zu Pakistan. Das Beben hatte eine Stärke von 6,0.",https://images.welt.de/68b51d0b8c33b226bcaee86d/8977e724629558440c645b7d55ce1cbd-master/ci16x9-w1200/injured-afghan-people-receive-treat,2025-09-01T05:19:09Z,,Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen https://epaper.welt.de,,de,'Erdbeben Epizentrum'
